"Order","Active","Text Above Question","Question Title","Activity","Type","Dropdown/Checkbox options","Show in Final Questions Section","Answer Required?"
"101","True","","Final thoughts and reflections:","The First Aid Kit","Paragraph Text","","Yes","No"
"100","True","<hr /><p><br /></p>","Please help us by rating this activity below:","The First Aid Kit","Dropdown","1 (Not helpful / relevant),2,3,4,5 (Very helpful/relevant)","Yes","No"
"7","True","<hr style=""height:1px;background-color:#ff769c;border:none;"" /><p>People who handle stress well minimise the stuf in the ‘concern’ circle. They practise forgetting about it. They
spend their energy on the things in the ‘control’ circle and make plans. </p><p>Finish the exercise by deciding a few simple things you could do to improve each of the issues/situations in your circle of control
</p>","Ideas or Actions:","The First Aid Kit","Paragraph Text","","No","No"
"6","True","","THINGS I CAN'T CONTROL:","The First Aid Kit","Paragraph Text","","No","No"
"5","True","<hr style=""height:1px;background-color:#ff769c;border:none;"" />
<p> Next, review every item in the box above, currently crowded with crazy thoughts and issues,
one at a time. For each item, ask yourself,
	<strong><em> ‘What control do I have over this?’</em></strong>
</p>
<p><em>Add them to the two boxes below, either as something you can control or something that is out of your control.</em>
</p>","THINGS I CAN CONTROL:","The First Aid Kit","Paragraph Text","","No","No"
"4","True","<hr style=""height:2px;background-color:#ff769c;border:none;"" />
<h4 style=""text-align:center;margin:0px;color:#ff769c;"">3 - CONCERN vs CONTROL</h4>
<hr style=""height:2px;background-color:#ff769c;border:none;"" />
<p>First - listen to your anxieties and worries (your ‘mental chatter’ as Tim Ferriss calls it) and write it all down – for
example, ‘worrying about the news’, ‘worrying about what questions might appear on my next exam’,
‘stressing about what people might think of my recent post on social media’, ‘thinking about ice cream’
</p>","Mental Chatter","The First Aid Kit","Paragraph Text","","No","No"
"3","True","<hr style=""height:1px;background-color:#ff769c;border:none;"" /><strong><em></em></strong>
<h5><strong><em>Version 2: </em></strong></h5>
<p>First choose a public place
</p>
<p>When you are there - cast your eyes over the crowds around you and choose three random people.
 Give each of them ten seconds of your time, one at a time, as vividly as you can. Mentally say: ‘
	<em>I wish for
this person to be happy.’ 
	</em>Imagine them happy. Repeat the phrase mentally if you need to for ten seconds.
</p>","Where will you go to project your deliberate kindness?","The First Aid Kit","Short Text","","No","No"
"2","True","<hr style=""height:2px;background-color:#ff769c;border:none;"" /><h4 style=""text-align:center;margin:0px;color:#ff769c;"">2 - DELIBERATE KINDNESS</h4><hr style=""height:2px;background-color:#ff769c;border:none;"" /><h5><strong><em>Version 1: </em></strong></h5><p>Choose three people – parents, friends, peers, tutors or teachers, brothers, sisters or cousins.
Give each of them ten seconds of your time, bringing them to mind, one at a time, as vividly as you can.
Mentally say: ‘I wish for this person to be happy.’ Imagine them happy. Repeat the phrase mentally if you
need to for ten seconds.
</p>","Which 3 people will you project your positive thoughts on to:","The First Aid Kit","Paragraph Text","","No","No"
"5","True","<hr style=""height:3px;background-color:#ff769c;border:none;"" />
<h2 style=""text-align:center;margin:0px;color:#ff769c;"">🔋 SLOT 5 🔋</h2>
<hr style=""height:3px;background-color:#ff769c;border:none;"" />","Positive recharging comment:","The Battery","Paragraph Text","","No","No"
"4","True","<hr style=""height:3px;background-color:#ff769c;border:none;"" />
<h2 style=""text-align:center;margin:0px;color:#ff769c;"">🔋 SLOT 4 🔋</h2>
<hr style=""height:3px;background-color:#ff769c;border:none;"" />","Positive recharging comment:","The Battery","Paragraph Text","","No","No"
